ÉLECTION PARTIELLE DU 2010/09/13;;;;;;;;;;
CIRCONSCRIPTION                    ;      ;    ;       ;Fiorilo             ;Fournier            ;Landry              ;Leclerc             ;Pigeon              ;      ;    
Saint-Laurent                      ; S.É. ;S.V.; É.I.  ;Jose                ;Jean-Marc           ;Tim                 ;Philippe            ;Marie Josèphe       ;B.V.  ;B.R.
MUNICIPALITÉS                      ;      ;    ;       ;A.D.Q.         ;P.L.Q./Q.L.P.  ;P.V.Q./G.P.Q.  ;P.Q.           ;Q.S.           ;      ;    
Montréal,v  (p)                    ;028.00;74;575;2;35;2;8;2;49;0
Montréal,v  (p)                    ;028.00;75;345;10;27;0;6;4;47;0
Montréal,v  (p)                    ;028.00;76;431;9;39;3;5;2;58;1
Montréal,v  (p)                    ;028.00;77;415;6;42;0;3;1;52;1
Montréal,v  (p)                    ;028.00;78;270;9;9;2;9;0;29;0
Montréal,v  (p)                    ;028.00;79;358;1;14;2;10;3;30;0
Montréal,v  (p)                    ;028.00;80;449;9;29;2;11;2;53;0
Montréal,v  (p)                    ;028.00;81;277;10;27;2;8;0;47;1
Montréal,v  (p)                    ;028.00;82;342;2;23;2;4;2;33;0
TOTAL DU SECTEUR                   ;      ;    ;5953;93;573;33;119;31;849;15
Montréal,v  (p)                    ;029.00;83;301;8;21;1;0;2;32;0
Montréal,v  (p)                    ;029.00;84;270;1;19;2;1;0;23;0
Montréal,v  (p)                    ;029.00;85;268;6;32;0;3;2;43;0
Montréal,v  (p)                    ;029.00;86;295;3;32;3;1;0;39;2
Montréal,v  (p)                    ;029.00;87;285;12;29;8;3;0;52;0
Montréal,v  (p)                    ;029.00;88;87;0;0;0;0;0;0;0
Montréal,v  (p)                    ;029.00;89;305;7;26;1;3;0;37;3
Montréal,v  (p)                    ;029.00;90;300;3;26;2;1;0;32;0
Montréal,v  (p)                    ;029.00;91;285;10;39;2;1;3;55;0
Montréal,v  (p)                    ;029.00;92;290;2;22;1;3;0;28;1
Montréal,v  (p)                    ;029.00;93;267;3;35;3;5;3;49;2
Montréal,v  (p)                    ;029.00;94;287;5;29;2;6;1;43;0
Montréal,v  (p)                    ;029.00;95;276;4;25;3;7;0;39;0
Montréal,v  (p)                    ;029.00;96;279;7;23;6;7;0;43;0
Montréal,v  (p)                    ;029.00;97;276;2;30;3;7;0;42;0
Montréal,v  (p)                    ;029.00;98;292;6;22;6;19;1;54;0
Montréal,v  (p)                    ;029.00;99;268;10;14;2;2;2;30;0
Montréal,v  (p)                    ;029.00;100;348;6;28;2;10;1;47;0
Montréal,v  (p)                    ;029.00;101;242;0;0;0;0;0;0;0
Montréal,v  (p)                    ;029.00;102;286;4;17;1;2;2;26;0
Montréal,v  (p)                    ;029.00;103;341;5;16;0;8;4;33;1
Montréal,v  (p)                    ;029.00;104;276;3;19;1;13;3;39;1
TOTAL DU SECTEUR                   ;      ;    ;6124;107;504;49;102;24;786;10
Montréal,v  (p)                    ;030.00;105;397;5;21;3;7;7;43;5
Montréal,v  (p)                    ;030.00;106;272;5;40;4;7;3;59;0
Montréal,v  (p)                    ;030.00;107;259;3;29;0;10;6;48;2
Montréal,v  (p)                    ;030.00;108;268;7;35;3;22;3;70;0
Montréal,v  (p)                    ;030.00;109;273;7;31;4;9;3;54;0
TOTAL DU SECTEUR                   ;      ;    ;1469;27;156;14;55;22;274;7
Montréal,v  (p)                    ;031.00;110;293;4;31;6;5;4;50;1
Montréal,v  (p)                    ;031.00;111;288;7;46;7;18;7;85;1
Montréal,v  (p)                    ;031.00;112;296;0;22;1;6;2;31;0
Montréal,v  (p)                    ;031.00;113;296;6;28;3;29;4;70;0
Montréal,v  (p)                    ;031.00;114;306;4;58;4;17;4;87;2
TOTAL DU SECTEUR                   ;      ;    ;1479;21;185;21;75;21;323;4
Montréal,v  (p)                    ;032.00;115;241;5;28;1;4;2;40;0
Montréal,v  (p)                    ;032.00;116;252;5;19;2;0;0;26;3
Montréal,v  (p)                    ;032.00;117;242;2;36;0;4;0;42;1
Montréal,v  (p)                    ;032.00;118;289;3;14;4;9;2;32;0
Montréal,v  (p)                    ;032.00;119;307;2;25;2;7;4;40;2
TOTAL DU SECTEUR                   ;      ;    ;1331;17;122;9;24;8;180;6
